countryCode,thematicIdIdentifier,thematicIdIdentifierScheme,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,monitoringSiteName,waterBodyIdentifier,waterBodyIdentifierScheme,waterBodyName,specialisedZoneType,naturalAWBHMWB,reservoir,surfaceWaterBodyTypeCode,subUnitIdentifier,subUnitIdentifierScheme,subUnitName,rbdIdentifier,rbdIdentifierScheme,rbdName,confidentialityStatus,lon,lat,statusCode
"CH","CHRW-1119","eionetMonitoringSiteCode","CHRW-1119","eionetMonitoringSiteCode","THÖRISHAUS","CHRWB-2026","eionetSurfaceWaterBodyCode","SENSE","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","7.35309","46.88729","stable"
"CH","CHNTG05A","eionetMonitoringSiteCode","CHNTG05A","eionetMonitoringSiteCode","STANS 2 - OBERMILCHBRUNNEN","CH4101","eionetGroundWaterBodyCode","ENGELBERGERTAL","groundWaterBody","","","","","","","CHRBD-1","eionetRBDCode","RHINE","F","8.37609","46.96129","stable"
"CH","CHNTG50A","eionetMonitoringSiteCode","CHNTG50A","eionetMonitoringSiteCode","DOMAT/EMS 2","CH3106","eionetGroundWaterBodyCode","ALPENRHEIN","groundWaterBody","","","","","","","CHRBD-1","eionetRBDCode","RHINE","F","9.47299","46.83846","stable"
"CH","CHSF-2139","eionetMonitoringSiteCode","CHSF-2139","eionetMonitoringSiteCode","RHEINT.BINNENKANAL - ST.MARGRETHEN","CHRWB-2053","eionetSurfaceWaterBodyCode","RHEINTALER BINNENKANAL","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","9.65533","47.44955","stable"
"CH","CHLW-1613","eionetMonitoringSiteCode","CHLW-1613","eionetMonitoringSiteCode","BURGÄSCHISEE","CHLWB-3010","eionetSurfaceWaterBodyCode","BURGÄSCHISEE","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","7.66813","47.16899","stable"
"CH","CHNTG20","eionetMonitoringSiteCode","CHNTG20","eionetMonitoringSiteCode","CHARRAT","CH1102","eionetGroundWaterBodyCode","MITTLERES UND OBERES RHONETAL","groundWaterBody","","","","","","","CHRBD-2","eionetRBDCode","RHONE","F","7.13157","46.13089","stable"
"CH","CHNTG33","eionetMonitoringSiteCode","CHNTG33","eionetMonitoringSiteCode","PREGASSONA","CH6102","eionetGroundWaterBodyCode","MISOX SOTTOCENERI","groundWaterBody","","","","","","","CHRBD-4","eionetRBDCode","PO","F","8.96381","46.01865","stable"
"CH","CHNTG19","eionetMonitoringSiteCode","CHNTG19","eionetMonitoringSiteCode","MAIENFELD","CH3106","eionetGroundWaterBodyCode","ALPENRHEIN","groundWaterBody","","","","","","","CHRBD-1","eionetRBDCode","RHINE","F","9.53416","46.99491","stable"
"CH","CHRW-1002","eionetMonitoringSiteCode","CHRW-1002","eionetMonitoringSiteCode","RÄMISMÜHLE, ZELL","CHRWB-2148","eionetSurfaceWaterBodyCode","TOESS","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.81354","47.44394","stable"
"CH","CHRW-1145","eionetMonitoringSiteCode","CHRW-1145","eionetMonitoringSiteCode","THUN SCHADAU","CHRWB-2254","eionetSurfaceWaterBodyCode","AARE THUN-BERN","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","7.63780","46.74712","stable"
"CH","CHRW-1402","eionetMonitoringSiteCode","CHRW-1402","eionetMonitoringSiteCode","SALMSACH","CHRWB-2056","eionetSurfaceWaterBodyCode","AACH (ROMANSHORN)","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","9.35385","47.55039","stable"
"CH","CHSF-2155","eionetMonitoringSiteCode","CHSF-2155","eionetMonitoringSiteCode","EMME - WILER, LIMPACHMÜNDUNG","CHRWB-2141","eionetSurfaceWaterBodyCode","EMME","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","7.54703","47.16008","stable"
"CH","CHRW-1833","eionetMonitoringSiteCode","CHRW-1833","eionetMonitoringSiteCode","BRUGG","CHRWB-2079","eionetSurfaceWaterBodyCode","AARE BIELERSEE-RHEIN","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.19489","47.48254","stable"
